SignalRecordInator saved data
note:Some more example data, this time without a time column.
numChannels: 2
Channels: AI0, AI2,
SaplingFrequency: 1000
-1.415902,-2.484181
-1.415573,-2.485168
-1.429062,-2.485168
-1.433668,-2.485497
-1.459331,-2.485497
-1.434655,-2.486155
-1.422153,-2.485497
-1.410967,-2.484510
-1.442880,-2.484510
-1.431694,-2.485168
-1.440577,-2.485168
-1.419850,-2.485168
-1.420179,-2.485168
-1.434655,-2.484839
-1.419850,-2.484510
-1.433997,-2.485168
-1.432352,-2.483852
-1.435971,-2.484839
-1.418205,-2.485168
-1.430707,-2.485168
-1.431036,-2.485168
-1.442222,-2.484839
-1.419850,-2.485168
-1.428075,-2.485826
-1.433668,-2.484510
-1.432681,-2.484839
-1.420508,-2.484839
-1.435642,2.490360
-1.436629,2.490360
-1.411625,2.490031
-1.422811,2.491347
-1.425114,2.490360
-1.419850,2.492005
-1.431694,2.491347
-1.421824,2.488386
-1.429062,2.489373
-1.419521,2.490031
-1.417547,2.489373
-1.433010,2.488715
-1.453079,2.488715
-1.418534,2.488386
-1.416560,2.489702
-1.429391,2.491018
-1.438274,2.489702
-1.435642,2.489702
-1.444196,2.490689
-1.420179,2.489702
-1.440248,2.491018
-1.427746,2.490360
-1.431036,2.489373
-1.423140,2.488386
-1.426101,2.489702
-1.412941,2.490031
-1.427088,2.489044
-1.424456,2.490360
-1.422811,2.489044
-1.420508,2.489702
-1.423469,2.490689
-1.431365,2.490031
-1.435642,2.489373
-1.410967,2.489044
-1.410638,2.488715
-1.433668,2.488386
-1.433997,2.490031
-1.417547,2.490689
-1.403400,2.489373
-1.418863,2.489044
-1.423798,2.489373
-1.420837,2.489702
-1.434655,2.489373
-1.434984,2.489702
-1.446499,2.487399
-1.415573,2.490031
-1.442222,2.491018
-1.426101,2.488715
-1.401426,2.492005
-1.378066,2.489702
-1.322136,2.490360
-1.289235,2.488057
-1.233633,2.488715
-1.217841,2.491676
-1.174084,2.490689
-1.132958,2.489044
-1.079001,2.489373
-1.036560,2.489702
-0.992144,2.488715
-0.967140,2.489044
-0.926015,2.488057
-0.901668,2.489702
-0.861530,2.491018
-0.831261,2.488715
-0.796716,2.488715
-0.755261,2.490031
-0.734863,2.490031
-0.698344,2.489373
-0.662811,2.489702
-0.660179,2.490031
-0.624647,2.489373
-0.620370,2.489373
-0.568058,2.489373
-0.558188,2.488386
-0.542067,2.490031
-0.521669,2.488057
-0.485149,2.487399
-0.490413,2.489044
-0.475279,2.489373
-0.476595,2.488386
-0.460474,2.488715
-0.440076,2.489044
-0.432179,2.490031
-0.448630,2.489373
-0.426586,-2.485168
-0.452249,-2.483523
-0.457513,-2.484510
-0.459158,-2.485168
-0.457842,-2.485168
-0.502586,-2.485168
-0.495019,-2.484510
-0.510153,-2.484839
-0.529565,-2.485168
-0.579573,-2.485168
-0.589772,-2.485168
-0.644058,-2.484839
-0.647677,-2.485168
-0.674984,-2.483852
-0.730915,-2.484839
-0.774673,-2.484181
-0.802967,-2.484510
-0.838828,-2.484839
-0.898707,-2.485168
-0.963192,-2.484510
-0.993789,-2.484181
-1.063209,-2.484839
-1.129997,-2.484839
-1.170794,-2.484839
-1.210932,-2.484839
-1.277062,-2.485168
-1.324439,-2.485168
-1.390240,-2.484510
-1.431694,-2.484839
-1.443538,-2.485168
-1.413599,-2.485168
-1.410967,-2.484839
-1.423469,-2.484510
-1.427417,-2.484510
-1.436958,-2.485168
-1.413928,-2.485497
-1.416231,-2.484839
-1.413270,-2.485168
-1.427088,-2.484510
-1.443209,-2.484510
-1.417876,-2.483852
-1.427417,-2.484839
-1.444854,-2.484510
-1.427417,-2.484510
-1.425772,-2.484510
-1.442222,-2.484510
-1.426759,-2.484181
-1.436629,-2.484510
-1.429720,-2.483852
-1.423469,-2.484839
-1.434984,-2.484510
-1.428733,-2.484839
-1.446828,-2.484510
-1.441564,-2.485168
-1.417218,-2.484510
-1.408993,-2.485168
-1.429062,-2.485497
-1.432681,-2.485168
-1.430707,-2.485497
-1.413270,-2.485168
-1.449460,-2.485168
-1.439590,-2.484839
-1.412941,-2.485168
-1.436958,-2.484839
-1.429720,-2.484510
-1.416560,-2.485497
-1.449789,-2.484839
-1.441564,-2.484839
-1.420837,-2.484839
-1.417876,-2.485168
-1.424785,-2.484839
-1.428404,-2.485168
-1.419521,-2.484839
